,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT2G26400,74.22014427,5.361921999,1.02147041,5.249219112,1.53E-07,2.21E-06
AT2G26440,251.534523,3.045840091,0.912757831,3.336964074,0.000846989,0.005512888
AT2G26530,1122.950587,5.408534461,0.337759126,16.01299282,1.04E-57,2.53E-55
AT2G26560,450.7192627,8.756860732,0.643871908,13.60031495,3.99E-42,5.56E-40
AT2G26650,545.0974005,3.906224338,0.536375402,7.282631385,3.27E-13,8.70E-12
AT2G27310,526.1599398,4.97520621,0.53315796,9.331580109,1.04E-20,4.94E-19
AT2G27500,385.5728137,2.083463987,0.528746427,3.940384048,8.14E-05,0.00070312
AT2G27505,33.42903735,5.065318556,1.258340259,4.025396566,5.69E-05,0.000514239
AT2G27507,16.56784711,5.512145847,2.005979587,2.747857397,0.005998609,0.028836471
AT2G27660,72.4964613,3.970758422,0.814341739,4.876034512,1.08E-06,1.37E-05
AT2G27690,433.3410364,6.94727411,0.575401615,12.07378277,1.45E-33,1.41E-31
AT2G27830,103.0937504,2.252412335,0.676241866,3.330779189,0.000866033,0.005623953
AT2G28210,16.95924759,6.620076024,2.123020994,3.118233896,0.001819384,0.010583105
AT2G28400,90.77653199,4.71898517,0.724213248,6.516016077,7.22E-11,1.56E-09
AT2G28570,602.4715284,5.285021907,0.419251843,12.60584062,1.96E-36,2.22E-34
AT2G28815,42.86216935,6.385046357,1.269960146,5.027753331,4.96E-07,6.68E-06
AT2G29120,31.24595597,3.68975576,1.279376143,2.88402733,0.003926247,0.020287892
AT2G29350,28.40438333,8.375065566,1.683735884,4.974096974,6.56E-07,8.64E-06
AT2G29440,260.8569664,3.290611318,0.508865823,6.466559881,1.00E-10,2.13E-09
AT2G29460,1113.610858,9.577577549,0.531102552,18.03338643,1.07E-72,4.02E-70
AT2G29470,166.4581887,10.92582963,1.300164961,8.403417997,4.34E-17,1.61E-15
AT2G29710,17.44936515,4.492067083,1.768068285,2.540663797,0.011064225,0.047632344
AT2G29720,342.2610521,4.280988906,0.457535407,9.356628669,8.23E-21,3.92E-19
AT2G29730,217.648853,2.021575681,0.449268085,4.499709074,6.80E-06,7.58E-05
AT2G29940,27.51142791,6.583896489,2.001912517,3.288803298,0.001006143,0.006408419
AT2G29990,157.3672134,2.012348875,0.524122027,3.839466328,0.000123302,0.001026521
AT2G30020,416.8780461,2.53971265,0.400380542,6.343246952,2.25E-10,4.61E-09
AT2G30140,672.7033999,3.423445691,0.458599057,7.465008141,8.33E-14,2.37E-12
AT2G30250,1380.999087,3.817933322,0.305118627,12.51294739,6.34E-36,6.90E-34
AT2G30360,143.2581936,3.259407207,0.624223591,5.221538009,1.77E-07,2.55E-06
AT2G30395,54.41430497,3.200583866,0.996176681,3.212867684,0.001314168,0.008068615
AT2G30400,200.6525108,4.234654212,0.834366798,5.075290892,3.87E-07,5.28E-06
AT2G30440,2188.715652,3.269193428,0.248501994,13.15560242,1.58E-39,1.99E-37
AT2G30550,480.9350314,4.498053728,0.394099553,11.41349616,3.58E-30,2.98E-28
AT2G30720,404.7659226,2.829176492,0.379417533,7.456630873,8.88E-14,2.51E-12
AT2G30750,235.3887616,7.380802394,0.662855638,11.13485647,8.49E-29,6.75E-27
AT2G30766,108.6423867,9.350315361,1.360549225,6.872456498,6.31E-12,1.52E-10
AT2G30770,956.233552,13.44858634,1.211846655,11.09759745,1.29E-28,1.00E-26
AT2G30840,29.99235988,8.451061086,1.692679823,4.992710949,5.95E-07,7.90E-06
AT2G30870,2679.39133,2.638493599,0.180668377,14.60406989,2.65E-48,4.85E-46
AT2G30990,319.1030811,2.000817589,0.493379892,4.055328605,5.01E-05,0.000456913
AT2G31020,63.7687725,4.505722321,0.887971968,5.074171804,3.89E-07,5.31E-06
AT2G31018,31.37662284,8.52006824,1.700161722,5.011328117,5.41E-07,7.24E-06
AT2G31230,92.88516766,5.207890495,0.99237482,5.247906728,1.54E-07,2.22E-06
AT2G31240,173.0817739,2.651799809,0.695364074,3.813541579,0.000136989,0.001128756
AT2G31420,35.86769339,5.763337436,1.331575832,4.328208201,1.50E-05,0.000155732
AT2G31425,16.73258441,7.611595921,1.947785057,3.907821293,9.31E-05,0.000793189
AT2G31865,431.8695267,5.078635702,0.484568642,10.48073536,1.06E-25,6.68E-24
AT2G31870,226.4926449,3.295019515,0.561767425,5.865451377,4.48E-09,8.06E-08
AT2G31880,587.2567204,2.482186509,0.409523282,6.061160915,1.35E-09,2.56E-08
AT2G31955,396.9058474,2.536238016,0.30968033,8.189858276,2.62E-16,9.05E-15
AT2G32020,239.8644581,4.642733938,0.894839798,5.188340919,2.12E-07,3.03E-06
AT2G32030,751.8185503,13.10356693,1.21598046,10.77613281,4.46E-27,3.02E-25
AT2G32130,17.72161952,7.698612974,1.952564608,3.942821119,8.05E-05,0.000697264
AT2G32140,667.9466489,8.755715674,1.574917406,5.559476097,2.71E-08,4.35E-07
AT2G32150,1177.31706,5.508485297,0.374050934,14.72656473,4.35E-49,8.30E-47
AT2G32190,281.0701244,4.05204886,0.496384334,8.163128007,3.26E-16,1.12E-14
AT2G32200,23.2687845,8.085772335,1.909654284,4.234155052,2.29E-05,0.000228085
AT2G32210,86.67646403,3.388145344,0.898045269,3.77280017,0.000161426,0.001306061
AT2G32220,116.7770561,2.239146262,0.528181418,4.2393507,2.24E-05,0.000223563
AT2G32240,5081.129029,2.923910152,0.164027315,17.82575142,4.46E-71,1.59E-68
AT2G32250,294.9818953,2.204649714,0.425752409,5.178243658,2.24E-07,3.18E-06
AT2G32380,90.88709975,2.186170639,0.772045528,2.831660259,0.004630702,0.023290242
AT2G32680,24.19840749,5.918931242,1.718047519,3.445149902,0.000570743,0.003901157
AT2G32930,269.3604365,2.433308589,0.45430305,5.356135265,8.50E-08,1.28E-06
AT2G33100,29.90179297,6.146464211,2.043561537,3.007721617,0.002632141,0.014505051
AT2G33580,200.9640683,2.39575968,0.646499434,3.705741343,0.000210773,0.00164516
AT2G33585,27.33019769,4.232725307,1.283683254,3.297328444,0.000976093,0.006241806
AT2G33710,137.3239173,3.523356352,1.041461396,3.383088768,0.000716755,0.004752357
AT2G33847,29.00383604,5.641945763,1.605603611,3.513909487,0.000441563,0.003140876
AT2G34070,243.081481,2.408364094,0.452808893,5.318720832,1.04E-07,1.55E-06
AT2G34355,106.4260887,4.187058206,0.782743453,5.349208847,8.83E-08,1.32E-06
AT2G34420,6794.771184,2.61830963,0.205620973,12.73367008,3.84E-37,4.46E-35
AT2G34430,3468.189176,4.904550112,0.263584322,18.60713896,2.81E-77,1.20E-74
AT2G34500,383.4926172,8.232488961,0.633687121,12.99140962,1.37E-38,1.68E-36
AT2G34600,28.55760427,6.73786609,1.76883173,3.809218241,0.000139407,0.001146711
AT2G34650,219.6926005,6.044618621,0.790560601,7.645990218,2.07E-14,6.21E-13
AT2G34930,257.316514,2.604016341,0.529508652,4.917797529,8.75E-07,1.13E-05
AT2G34940,20.60631012,4.081452089,1.41941916,2.87543821,0.004034671,0.020742347
AT2G35480,185.236583,4.902459452,0.620324749,7.903053136,2.72E-15,8.77E-14
AT2G35710,100.0765904,6.01500867,0.843480277,7.131178797,9.95E-13,2.54E-11
AT2G35730,20.9500405,6.975182686,1.987942112,3.508745372,0.000450226,0.003191876
AT2G35930,446.994382,7.145626083,0.524662563,13.6194701,3.07E-42,4.34E-40
AT2G35935,258.8533629,6.589559226,0.674846265,9.764533894,1.60E-22,8.50E-21
AT2G35980,182.6052868,11.05901436,1.287909703,8.586793261,8.94E-18,3.51E-16
AT2G36010,70.27231957,2.29930611,0.903843224,2.543921388,0.010961575,0.047264426
AT2G36220,138.7461858,2.946401785,0.854095243,3.44973445,0.000561138,0.003846435
AT2G36580,542.2079004,2.059318487,0.339019542,6.074335632,1.25E-09,2.37E-08
AT2G36650,185.8187199,2.345803639,0.723473395,3.242418663,0.001185198,0.007387528
AT2G36770,281.2001599,6.578994316,0.577486276,11.39246869,4.56E-30,3.77E-28
AT2G36780,108.6875407,2.289500531,0.888217951,2.577633709,0.009947939,0.043796414
AT2G36790,563.8497111,3.955689921,0.470937354,8.399609602,4.48E-17,1.65E-15
AT2G36800,522.7312827,2.681866162,0.357167772,7.508701443,5.97E-14,1.72E-12
AT2G37040,6108.151642,2.661200233,0.207155555,12.84638607,9.01E-38,1.06E-35
AT2G37070,9.851472436,5.884984323,2.145244455,2.743269798,0.006083068,0.029147846
