,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT4G30410,78.40986367,-6.13993742,1.167617946,-5.2585158,1.45E-07,2.11E-06
AT4G30620,157.0350179,-2.96361968,0.590489751,-5.018918064,5.20E-07,6.98E-06
AT4G30980,74.26991389,-2.342173436,0.705972907,-3.317653431,0.00090777,0.005857447
AT4G31240,80.39762363,-3.041474306,1.080831371,-2.814013719,0.004892714,0.024441983
AT4G31360,75.56727316,-2.959741335,0.928035395,-3.189254796,0.001426401,0.008641915
AT4G31840,111.3970111,-2.841997116,0.96469283,-2.946012478,0.003218994,0.017177488
AT4G31910,56.57470887,-2.341140294,0.811860929,-2.883671587,0.003930684,0.020305371
AT4G32295,10.6015802,-6.027721015,2.092047268,-2.881254696,0.003960954,0.020438902
AT4G32360,73.89740167,-2.244720357,0.858429584,-2.614914955,0.008924968,0.040118584
AT4G32970,84.58553582,-2.533353347,0.907783931,-2.790700805,0.005259406,0.025963851
AT4G33170,12.25115528,-5.987732669,2.021945778,-2.961371533,0.003062722,0.016476042
AT4G33960,67.36965392,-3.362853176,1.328024611,-2.53222203,0.01133422,0.048653225
AT4G34090,138.9660941,-2.87750096,0.816327894,-3.52493279,0.00042359,0.003031843
AT4G34138,539.9006109,-2.120910379,0.417444571,-5.080699392,3.76E-07,5.15E-06
AT4G34220,251.2027881,-2.024532208,0.595382062,-3.400391675,0.000672894,0.00448938
AT4G34530,446.621231,-2.252096913,0.5605678,-4.017528141,5.88E-05,0.000529047
AT4G34540,469.1320737,-2.174835486,0.56030194,-3.881541956,0.000103796,0.000876259
AT4G34560,413.207114,-2.092722885,0.424757396,-4.926866261,8.36E-07,1.08E-05
AT4G34580,11.30844529,-5.222318185,1.935090975,-2.698745564,0.006960137,0.032564101
AT4G34760,211.5668216,-7.351015855,0.710422555,-10.34738524,4.30E-25,2.59E-23
AT4G34770,18.68423182,-6.622725949,1.885331106,-3.512765438,0.000443469,0.003153265
AT4G34860,15.73033126,-4.221620597,1.490570744,-2.832217535,0.004622639,0.023255764
AT4G35783,10.74400122,-6.927886103,2.252609668,-3.075493372,0.002101546,0.011978252
AT4G35950,125.0015689,-2.706517153,0.686619298,-3.941801755,8.09E-05,0.000699605
AT4G36170,8.642844192,-6.612203476,2.413922623,-2.73919446,0.006158993,0.029452994
AT4G36240,11.57088925,-7.036577256,2.218788618,-3.171359903,0.00151727,0.009086627
AT4G36540,477.4142083,-2.82936163,0.373552573,-7.574199281,3.61E-14,1.05E-12
AT4G37110,49.23580382,-3.585308338,1.134157054,-3.161209751,0.001571153,0.009356917
AT4G37550,87.68903241,-3.47424503,1.33006984,-2.612077145,0.008999394,0.040415386
AT4G37580,66.82164355,-4.013689101,1.166639158,-3.440386063,0.000580885,0.003959233
AT4G37682,15.03054465,-7.411614466,2.067959997,-3.584022166,0.000338343,0.002503819
AT4G37750,163.4467101,-2.652650148,0.642186328,-4.130654972,3.62E-05,0.000342816
AT4G37810,19.07954492,-7.753501957,1.925159536,-4.027459446,5.64E-05,0.000510468
AT4G38160,199.6594507,-2.199160193,0.844990845,-2.60258464,0.009252397,0.041262777
AT4G38210,8.250321377,-6.548219863,2.543364296,-2.574629153,0.010034761,0.044090762
AT4G38330,13.22960785,-6.087773513,2.054439692,-2.963228143,0.003044308,0.016395313
AT4G38860,58.35172025,-2.709638173,0.91056783,-2.975767519,0.002922563,0.015810426
AT4G39250,157.9935041,-10.80290817,1.37334049,-7.866154279,3.66E-15,1.17E-13
AT4G39620,144.5931196,-2.239242881,0.68039708,-3.291082438,0.000998027,0.006360933
AT4G39770,162.1525295,-3.375898812,0.708346215,-4.765888118,1.88E-06,2.32E-05
AT4G40060,138.6872783,-2.050092935,0.5424094,-3.779604361,0.000157078,0.001274097
AT5G01370,187.9543513,-2.593783592,0.884688224,-2.93186178,0.003369367,0.017816915
AT5G01470,28.89875314,-3.161269336,1.07539584,-2.939633221,0.00328601,0.017496297
AT5G01600,1730.040818,-2.528134514,0.206443462,-12.24613504,1.76E-34,1.78E-32
AT5G01840,10.80901549,-6.936259914,2.290617105,-3.028118448,0.002460816,0.013697452
AT5G01910,23.11720447,-8.029980696,1.787829856,-4.491468062,7.07E-06,7.85E-05
AT5G02030,91.38617144,-2.330607734,0.655008987,-3.558130928,0.000373503,0.00272671
