,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT3G02885,0,0,0,0,0,0
AT3G02890,312,403,114,632,37,170
AT3G02900,110,209,144,21,84,25
AT3G02910,299,380,169,483,64,27
AT3G02920,30,114,43,131,0,75
AT3G02930,129,154,38,442,72,70
AT3G02940,0,0,0,0,0,0
AT3G02950,226,196,49,171,51,221
AT3G02960,0,0,0,0,0,0
AT3G02970,0,0,0,0,0,0
AT3G02975,0,0,0,0,0,0
AT3G02980,4,12,0,0,0,0
AT3G02990,58,36,34,207,0,31
AT3G03000,0,0,7,9,0,7
AT3G03010,163,157,15,88,84,213
AT3G03020,86,185,91,1609,87,254
AT3G03030,75,5,8,44,3,12
AT3G03040,75,162,73,3,9,75
AT3G03050,236,517,207,797,252,240
AT3G03060,53,74,21,498,176,144
AT3G03070,609,774,354,1297,365,359
AT3G03080,0,0,0,0,0,0
AT3G03090,154,67,42,336,64,55
AT3G03100,732,1112,287,1183,458,499
AT3G03110,561,316,213,941,152,95
AT3G03120,114,43,89,24,53,102
AT3G03130,24,63,4,14,0,16
AT3G03140,172,205,38,576,44,120
AT3G03150,563,1023,308,1257,292,179
AT3G03160,198,181,53,415,163,97
AT3G03170,23,0,66,0,0,16
AT3G03180,42,9,0,0,0,3
AT3G03190,18,34,0,8,48,73
AT3G03200,62,105,22,92,51,86
AT3G03210,146,74,88,269,6,115
AT3G03220,45,213,28,56,48,1
AT3G03230,0,0,0,0,0,0
AT3G03240,14,16,1,0,0,0
AT3G03250,601,802,196,634,117,139
AT3G03260,0,1,0,6,0,0
AT3G03270,314,333,172,1254,399,417
AT3G03272,0,0,18,383,2,75
AT3G03280,0,1,0,0,0,0
AT3G03290,0,0,0,0,0,12
AT3G03300,245,431,156,401,187,99
AT3G03305,155,141,12,187,62,47
AT3G03310,108,85,9,216,12,37
AT3G03320,94,33,4,5,4,0
AT3G03330,97,147,50,53,97,27
AT3G03340,387,271,139,1034,251,229
AT3G03341,12,0,0,258,107,65
AT3G03350,26,65,76,159,8,1
AT3G03360,50,102,3,16,11,21
AT3G03370,50,17,36,1,3,7
AT3G03380,629,725,304,1086,284,156
AT3G03400,0,0,0,0,0,0
AT3G03405,0,1,0,0,0,0
AT3G03410,0,0,0,0,0,0
AT3G03420,50,161,45,399,13,91
AT3G03430,0,0,0,0,0,0
AT3G03440,89,32,54,220,151,111
AT3G03450,14,39,25,145,39,14
AT3G03460,14,67,53,45,5,51
AT3G03470,68,69,13,2,45,1
AT3G03480,0,0,0,0,0,0
AT3G03490,129,221,24,464,9,95
AT3G03500,0,0,0,0,0,0
AT3G03510,0,0,0,0,0,0
AT3G03520,11,66,8,6,7,4
AT3G03530,11,58,2,3,1,8
AT3G03540,0,0,0,0,0,0
AT3G03550,154,188,96,398,108,228
AT3G03560,205,206,224,151,125,331
AT3G03570,133,159,83,194,169,45
AT3G03580,53,63,46,254,23,22
AT3G03590,19,21,3,24,0,1
AT3G03600,37,132,33,88,50,70
AT3G03610,107,186,11,567,96,72
AT3G03620,0,0,0,1,0,0
AT3G03630,100,117,61,6,2,6
AT3G03640,133,283,34,137,24,114
AT3G03650,0,0,0,0,2,0
AT3G03660,0,0,0,0,0,0
AT3G03670,0,0,0,0,0,0
AT3G03680,122,111,103,70,5,54
AT3G03690,30,65,40,194,7,26
AT3G03700,15,0,20,1,0,0
AT3G03710,357,725,248,531,65,106
AT3G03720,314,288,62,218,49,91
AT3G03726,0,0,0,0,0,0
AT3G03730,0,0,0,0,0,0
AT3G03740,221,211,80,890,230,323
AT3G03750,72,39,34,252,0,14
AT3G03760,0,0,0,0,0,2
AT3G03770,955,1014,509,349,144,245
AT3G03773,137,117,103,36,0,62
AT3G03776,0,0,0,0,11,0
AT3G03780,1571,1787,859,3008,818,601
AT3G03790,191,533,184,564,103,96
AT3G03800,2,5,0,0,0,0
AT3G03810,154,211,17,231,60,59
AT3G03820,18,114,8,0,0,0
AT3G03826,0,0,0,0,0,0
AT3G03828,0,0,0,0,0,0
AT3G03830,0,0,0,0,0,0
AT3G03840,0,0,0,0,0,0
AT3G03847,0,0,0,0,0,0
AT3G03850,11,19,0,0,0,0
AT3G03860,140,183,124,627,17,69
AT3G03870,76,146,86,872,326,128
AT3G03880,115,164,120,346,25,152
AT3G03890,169,258,152,267,9,4
AT3G03900,45,61,0,102,1,3
AT3G03910,0,15,5,5,27,0
AT3G03920,228,329,114,671,341,306
AT3G03930,0,0,0,0,0,0
AT3G03940,843,924,502,1798,518,316
AT3G03950,190,357,112,606,338,197
AT3G03960,471,727,211,1667,378,385
AT3G03970,55,45,48,10,92,47
AT3G03980,118,74,86,1,1,18
AT3G03990,336,396,291,556,105,77
AT3G04000,39,17,9,97,0,1
AT3G04010,17,9,8,110,1,16
AT3G04020,18,32,12,0,0,12
AT3G04030,331,470,188,985,37,80
AT3G04040,8,9,12,0,2,0
AT3G04050,9,10,11,0,59,0
AT3G04060,6,25,6,43,37,15
AT3G04070,62,21,17,0,0,31
AT3G04080,229,233,219,150,60,150
AT3G04090,247,326,139,425,437,178
AT3G04100,0,0,0,0,0,0
AT3G04110,3,1,0,204,1,10
AT3G04120,1860,2599,1393,7797,2025,2010
AT3G04130,46,51,19,117,61,75
AT3G04140,26,93,31,14,1,0
AT3G04150,0,0,0,0,0,0
AT3G04160,132,134,40,55,14,3
AT3G04170,0,4,0,0,0,0
AT3G04180,0,0,0,0,0,0
AT3G04181,0,0,0,0,0,0
AT3G04184,0,2,0,0,0,0
AT3G04190,0,0,0,0,0,0
AT3G04200,0,1,0,0,0,0
AT3G04210,213,288,64,1714,362,1287
AT3G04220,0,2,0,3215,716,705
AT3G04230,63,62,12,858,269,179
AT3G04240,577,648,412,2189,712,838
AT3G04250,0,0,0,0,0,0
AT3G04260,492,722,272,856,181,250
AT3G04270,0,0,0,0,0,0
AT3G04280,0,0,0,0,0,0
AT3G04290,0,37,0,0,0,0
AT3G04300,3,24,0,0,0,0
AT3G04310,70,53,39,0,5,22
AT3G04320,0,1,0,0,0,0
AT3G04330,0,0,0,1,0,0
AT3G04340,965,1415,798,1309,309,342
AT3G04350,232,235,155,60,30,56
AT3G04360,0,0,0,0,0,0
AT3G04370,0,1,0,0,0,0
AT3G04380,71,73,0,49,0,4
AT3G04390,0,0,8,0,0,0
AT3G04400,1506,3075,1004,3814,753,1128
AT3G04410,0,0,0,0,0,0
AT3G04420,0,10,1,2,21,0
AT3G04430,0,0,0,0,0,0
AT3G04440,2,0,1,26,0,0
AT3G04443,2,12,1,26,0,0
AT3G04450,22,97,14,1,0,4
AT3G04460,151,206,58,107,75,51
AT3G04470,564,867,429,1175,421,326
AT3G04480,194,245,265,419,41,454
AT3G04490,219,396,199,227,103,321
AT3G04500,135,309,38,552,171,236
AT3G04510,0,0,0,1,0,0
AT3G04520,420,445,205,273,62,42
AT3G04530,0,0,0,0,1,0
AT3G04540,0,0,0,0,0,0
AT3G04545,0,0,0,0,0,0
AT3G04550,798,1235,496,1137,331,456
AT3G04560,81,175,132,123,36,54
AT3G04570,0,0,0,16,1,1
AT3G04580,301,179,91,2575,359,570
AT3G04590,168,242,120,418,140,107
AT3G04600,261,261,118,435,166,95
AT3G04610,403,486,211,579,79,199
AT3G04620,14,21,12,42,26,25
AT3G04630,368,389,208,168,0,116
AT3G04640,22,27,24,1320,339,366
AT3G04650,139,141,30,128,82,85
AT3G04660,0,17,0,3,0,0
AT3G04670,517,540,394,1378,377,556
AT3G04680,115,242,73,120,70,71
AT3G04690,50,98,32,0,16,23
AT3G04700,1,12,9,0,0,0
AT3G04710,92,125,17,82,10,45
AT3G04720,3,12,2,32,4,25
AT3G04730,1241,1794,1212,2120,617,673
AT3G04735,0,0,0,0,36,0
AT3G04740,502,629,312,2018,544,408
AT3G04750,62,115,48,166,21,178
AT3G04760,581,756,262,557,210,126
AT3G04770,13,136,3,356,211,138
AT3G04780,126,233,129,1025,241,137
AT3G04790,800,1419,552,585,220,289
AT3G04800,3,26,0,0,0,1
AT3G04810,127,143,181,265,16,121
AT3G04820,134,128,75,454,7,8
AT3G04830,374,597,198,262,94,56
AT3G04840,893,1595,580,2466,686,696
AT3G04850,131,67,20,125,0,49
AT3G04854,21,16,2,6,1,0
AT3G04855,0,0,0,0,0,0
AT3G04860,59,59,18,0,0,3
AT3G04870,308,695,304,479,188,254
AT3G04880,83,176,123,78,84,7
AT3G04890,31,184,52,78,15,58
AT3G04900,0,0,0,10,0,0
AT3G04903,0,0,0,0,0,0
AT3G04910,831,1539,650,2072,351,394
AT3G04920,929,1437,592,2109,326,725
AT3G04930,470,493,241,920,151,209
AT3G04940,420,572,245,208,36,111
AT3G04943,0,0,5,1,0,0
AT3G04945,0,1,0,0,0,0
AT3G04950,73,28,1,288,2,26
AT3G04960,55,17,1,0,9,20
AT3G04970,65,143,88,1,1,27
AT3G04980,91,94,74,17,17,47
AT3G04990,0,6,0,0,0,0
AT3G05000,92,165,50,92,30,1
AT3G05010,149,137,25,353,63,95
AT3G05020,259,351,147,109,75,133
AT3G05030,83,165,67,490,50,134
AT3G05035,0,1,0,1,0,0
AT3G05040,286,548,196,83,163,100
AT3G05050,312,377,111,2389,762,737
AT3G05060,416,702,233,2525,442,749
AT3G05070,59,173,75,195,110,203
AT3G05090,383,466,319,972,169,258
AT3G05080,27,21,23,85,0,2
AT3G05100,284,130,71,22,91,99
AT3G05110,0,3,0,1,0,0
AT3G05120,274,294,294,289,29,62
AT3G05130,114,71,52,681,81,114
AT3G05140,23,65,10,0,65,5
AT3G05150,0,3,17,0,0,9
AT3G05155,0,1,0,5,0,0
AT3G05160,115,103,41,21,62,120
AT3G05165,23,244,91,75,4,61
AT3G05170,48,53,18,233,5,12
AT3G05180,59,101,9,33,28,5
AT3G05190,46,105,60,42,10,14
AT3G05200,99,55,17,2109,691,664
AT3G05210,117,148,24,383,37,63
AT3G05220,1714,1479,819,6955,2368,2172
AT3G05230,134,122,19,60,70,35
AT3G05240,25,25,0,42,17,0
AT3G05250,41,48,0,134,31,16
AT3G05260,1,0,0,0,0,0
AT3G05270,226,545,156,552,145,205
AT3G05280,208,246,103,383,60,116
AT3G05290,148,121,32,162,57,76
AT3G05300,0,0,0,0,0,0
AT3G05310,0,0,0,1,0,2
AT3G05320,93,60,53,276,58,113
AT3G05327,30,30,1,130,0,43
AT3G05330,88,167,104,76,54,44
AT3G05345,126,157,83,96,8,36
AT3G05340,39,94,49,96,19,40
AT3G05350,581,617,468,5427,2088,1143
AT3G05360,18,101,68,3570,1577,723
AT3G05365,0,0,12,1416,218,191
AT3G05370,50,180,84,1391,315,282
AT3G05380,208,352,69,698,258,310
AT3G05390,0,0,0,198,220,91
AT3G05400,0,0,1,0,1,0
AT3G05410,175,492,98,89,19,24
AT3G05420,335,515,237,144,54,136
AT3G05425,0,0,0,0,0,0
AT3G05430,39,98,71,48,26,15
AT3G05440,0,0,0,0,0,0
AT3G05450,0,3,0,0,3,0
AT3G05460,0,0,0,0,0,0
AT3G05470,78,171,23,320,88,121
AT3G05480,6,42,0,1,21,0
AT3G05490,329,459,160,857,107,104
AT3G05500,175,205,91,477,251,292
AT3G05510,34,143,58,17,75,82
AT3G05520,123,259,113,254,32,86
AT3G05530,669,1005,409,2677,681,707
AT3G05540,0,0,2,1,0,0
AT3G05545,319,459,171,1260,371,410
AT3G05550,9,0,22,0,0,2
AT3G05560,806,805,254,1560,502,526
AT3G05570,46,54,50,9,29,8
AT3G05580,131,54,126,1288,290,314
AT3G05590,1313,1820,513,1506,556,552
AT3G05600,0,0,0,0,0,0
AT3G05610,0,0,1,0,0,0
AT3G05620,72,69,44,8,59,31
AT3G05625,60,111,22,83,42,82
AT3G05630,1,10,0,53,0,4
AT3G05640,67,49,6,155,38,68
AT3G05650,133,175,103,232,295,141
AT3G05660,60,114,56,366,89,74
AT3G05670,400,400,313,1573,313,369
AT3G05675,22,78,53,26,36,0
AT3G05680,655,790,340,721,415,397
AT3G05685,0,11,0,0,34,3
AT3G05690,30,44,89,108,1,16
AT3G05700,69,141,44,158,3,16
AT3G05710,129,183,128,443,131,137
AT3G05720,0,7,0,0,0,12
AT3G05725,0,0,0,0,0,0
AT3G05727,0,0,0,0,0,0
AT3G05730,523,3006,32,306,26,19
AT3G05740,7,37,3,97,35,7
AT3G05741,1,0,0,0,0,0
AT3G05746,0,0,0,0,0,0
AT3G05750,117,161,108,205,5,41
AT3G05760,197,250,166,395,59,198
AT3G05770,1,3,2,0,1,0
AT3G05775,0,0,0,0,0,0
AT3G05780,0,3,5,5,0,0
AT3G05790,31,66,28,236,0,2
AT3G05800,108,158,131,153,51,67
AT3G05810,41,65,47,150,5,1
AT3G05820,2,0,0,1,0,0
AT3G05830,53,35,7,114,1,77
AT3G05840,722,1294,547,1972,672,502
AT3G05850,183,212,70,142,49,54
AT3G05858,0,1,0,0,0,0
AT3G05860,0,0,0,0,0,0
AT3G05870,174,170,63,435,78,88
AT3G05880,1202,1737,684,3847,895,824
AT3G05890,3,8,8,0,0,1
AT3G05900,584,784,249,541,344,277
AT3G05910,374,700,275,629,198,108
AT3G05920,0,0,5,0,0,0
AT3G05930,52,25,1,72,24,0
AT3G05935,72,39,23,27,0,0
AT3G05936,37,33,27,1,0,3
AT3G05937,0,5,21,1,0,30
AT3G05940,116,118,76,234,27,16
AT3G05950,1,0,1,1,0,0
AT3G05960,0,9,0,0,0,0
AT3G05970,453,950,316,779,259,183
AT3G05975,0,0,0,0,0,0
AT3G05980,0,0,0,0,0,5
AT3G05990,72,89,39,86,24,85
AT3G06000,0,0,0,0,0,0
AT3G06010,394,234,162,415,35,125
AT3G06019,18,53,0,0,0,0
AT3G06020,177,340,59,196,16,37
AT3G06030,102,40,18,5,50,34
AT3G06035,114,268,49,389,32,35
AT3G06040,376,470,140,895,264,196
AT3G06050,133,242,126,321,217,208
AT3G06060,168,263,77,223,68,22
AT3G06070,661,759,301,729,1,87
AT3G06080,533,352,213,259,199,282
AT3G06085,28,36,21,0,32,28
AT3G06090,0,0,0,0,0,0
AT3G06100,0,0,0,0,1,11
AT3G06110,143,292,71,78,48,25
AT3G06120,0,0,0,0,0,0
AT3G06130,273,308,85,51,115,22
AT3G06140,159,239,122,2,4,66
AT3G06145,28,60,12,1,0,11
AT3G06150,108,228,87,43,47,26
AT3G06160,2,41,8,1,0,14
AT3G06170,222,194,90,189,149,100
AT3G06180,58,48,70,10,22,5
AT3G06190,237,375,182,1060,122,192
AT3G06200,97,133,63,414,63,178
AT3G06210,50,100,32,51,7,28
AT3G06220,1,11,10,0,0,0
AT3G06230,0,0,0,0,0,0
AT3G06240,26,134,13,390,14,34
AT3G06250,107,234,144,420,27,100
AT3G06260,0,1,0,37,0,13
AT3G06270,45,134,57,438,134,63
AT3G06280,0,0,1,0,0,0
AT3G06290,248,349,153,441,187,194
AT3G06300,78,74,50,721,72,101
AT3G06310,110,233,113,579,164,109
AT3G06320,72,167,87,497,142,192
AT3G06330,150,350,106,1339,144,455
AT3G06340,23,126,23,310,119,49
AT3G06350,497,629,223,1223,496,712
AT3G06360,31,22,47,0,29,0
AT3G06370,259,476,124,774,100,73
AT3G06380,252,449,144,328,76,306
AT3G06390,10,11,3,0,60,1
AT3G06400,973,1133,571,2438,477,763
AT3G06410,139,270,132,222,146,114
AT3G06420,21,34,18,350,21,123
AT3G06430,279,442,237,49,85,133
AT3G06435,34,39,34,1,23,0
AT3G06436,25,34,19,0,0,0
AT3G06440,217,135,94,8,22,64
AT3G06450,111,305,22,122,15,100
AT3G06455,57,81,54,198,1,44
AT3G06460,0,0,0,0,0,0
AT3G06470,223,256,210,288,147,58
AT3G06480,223,372,141,566,52,123
AT3G06483,250,594,214,595,90,243
AT3G06490,1,0,0,597,146,166
AT3G06500,450,327,196,6809,1713,1718
AT3G06510,1060,1080,418,1122,102,208
AT3G06520,10,37,2,18,0,12
AT3G06530,567,871,227,2237,599,607
AT3G06540,76,211,267,835,100,109
AT3G06545,0,0,0,9,0,0
AT3G06550,531,682,225,590,79,401
AT3G06560,11,0,0,0,0,0
AT3G06570,48,131,29,14,40,12
AT3G06580,380,476,45,454,106,75
AT3G06590,429,605,266,135,28,51
AT3G06600,11,18,14,2,0,1
AT3G06610,136,294,59,117,53,119
AT3G06620,227,364,125,767,53,157
AT3G06630,10,4,32,0,44,0
AT3G06640,6,3,0,0,0,14
AT3G06650,330,665,250,681,224,387
AT3G66652,93,272,2,42,28,61
AT3G66654,102,270,74,1075,196,241
AT3G66656,0,0,0,1,0,0
AT3G66658,242,189,149,303,40,72
AT3G36659,0,0,0,0,0,0
AT3G06660,106,155,41,265,0,27
AT3G06670,523,961,375,875,294,1009
AT3G06680,115,562,116,297,191,212
AT3G06690,16,26,11,163,0,2
AT3G06700,1116,1710,557,3023,856,776
AT3G06710,17,23,3,2,0,0
AT3G06720,640,617,229,760,345,393
AT3G06730,81,317,88,156,3,23
AT3G06740,96,187,15,197,59,161
AT3G06750,253,540,192,270,30,81
AT3G06760,171,219,88,377,35,184
AT3G06770,47,135,53,231,62,93
AT3G06778,6,51,0,105,0,0
AT3G06780,181,80,44,328,39,171
AT3G06790,83,125,86,31,16,24
AT3G06810,334,482,172,242,33,328
AT3G06820,119,97,92,219,4,61
AT3G06830,14,15,0,0,0,0
AT3G06840,2,5,1,2,0,0
AT3G06850,230,248,139,140,28,25
AT3G06860,415,604,211,870,187,424
AT3G06868,46,30,36,40,0,39
AT3G06870,46,30,36,40,0,39
AT3G06880,117,401,92,336,25,40
AT3G06890,4,56,6,388,42,148
AT3G06895,58,124,167,432,14,159
AT3G06910,92,61,21,379,177,33
AT3G06920,47,138,60,79,48,36
AT3G06930,150,198,91,701,33,111
AT3G06950,26,123,8,190,0,0
AT3G06960,195,136,18,79,34,290
AT3G06970,0,0,0,0,0,0
AT3G06980,377,690,165,399,16,149
AT3G06985,0,0,0,0,0,0
AT3G06990,1,0,0,0,0,3
AT3G07000,0,0,0,0,0,0
AT3G07005,3,0,0,0,0,0
AT3G07010,159,401,36,302,119,92
AT3G07020,204,237,86,281,133,85
AT3G07030,188,109,42,289,57,88
AT3G07040,169,258,87,142,96,84
AT3G07050,258,542,194,2995,596,870
AT3G07060,118,194,38,208,45,10
AT3G07070,0,0,0,1,1,0
AT3G07080,209,224,78,319,174,63
AT3G07090,186,294,77,631,184,175
AT3G07100,982,1320,327,1798,630,565
AT3G07110,381,726,114,1135,383,492
AT3G07120,0,29,0,0,3,15
AT3G07130,140,104,15,102,6,4
AT3G07140,243,225,116,228,2,133
AT3G07150,0,9,33,8,0,0
AT3G07160,1245,1759,851,2579,787,752
AT3G07170,174,178,122,261,116,124
AT3G07180,262,334,189,425,85,116
AT3G07190,78,146,34,0,9,4
AT3G07195,2,0,3,15,45,60
AT3G07200,77,68,76,41,16,6
AT3G07210,87,184,130,327,32,8
AT3G07220,258,193,86,435,126,151
AT3G07230,397,669,339,1638,274,348
AT3G07250,0,1,0,0,0,0
AT3G07255,0,0,0,0,0,0
AT3G07260,1,0,0,0,0,0
AT3G07270,227,420,201,707,352,406
AT3G07273,6,12,20,115,87,42
AT3G07290,84,35,26,23,91,19
AT3G07300,90,297,45,313,188,158
AT3G07310,356,830,351,323,13,141
AT3G07320,193,267,151,841,137,34
AT3G07330,317,329,192,327,151,97
AT3G07340,292,244,139,588,47,74
AT3G07350,16,209,8,172,0,31
AT3G07360,407,473,270,2253,496,511
AT3G07370,124,145,83,704,293,399
AT3G07380,0,0,0,62,0,0
AT3G07390,604,845,470,2691,526,700
AT3G07400,126,278,117,136,163,86
AT3G07410,96,52,22,0,1,48
AT3G07420,449,532,258,899,99,107
AT3G07425,0,0,0,0,0,0
AT3G07430,304,413,193,533,311,128
AT3G07440,28,104,51,142,26,41
AT3G07450,0,0,0,0,0,0
AT3G07460,318,602,364,302,81,188
AT3G07470,155,295,178,455,166,191
AT3G07480,213,493,181,671,185,97
AT3G07490,0,0,0,0,25,0
AT3G07500,3,34,20,0,0,5
AT3G07510,108,100,24,99,0,68
AT3G07520,44,113,58,1,3,31
AT3G07522,0,1,0,0,0,0
AT3G07525,53,79,18,69,56,72
AT3G07530,95,54,11,59,17,7
AT3G07540,223,541,186,581,113,38
AT3G07550,161,127,82,86,64,31
AT3G07560,813,578,334,2008,773,717
AT3G07565,133,148,83,290,123,183
AT3G07568,87,209,97,748,139,126
AT3G07570,37,51,94,150,7,23
AT3G07580,3,14,33,49,5,75
AT3G07590,117,109,50,81,0,52
AT3G07600,0,0,0,0,0,0
AT3G07610,335,345,51,818,218,436
AT3G07620,3,0,0,0,0,0
AT3G07630,172,280,33,276,134,141
AT3G07640,65,172,166,52,26,5
AT3G07650,886,1047,597,146,79,287
AT3G07660,564,743,243,1348,259,300
AT3G07670,279,462,94,414,61,82
AT3G07680,257,386,100,309,97,102
AT3G07690,34,65,68,222,38,131
AT3G07700,383,265,109,1393,193,621
AT3G07710,0,0,0,0,0,1
AT3G07720,295,175,80,309,87,213
AT3G07730,32,27,5,8,9,0
AT3G07740,161,168,131,275,87,69
AT3G07750,29,93,24,39,9,21
AT3G07760,232,260,161,279,101,105
AT3G07770,479,777,373,676,282,276
AT3G07780,366,340,283,2628,1075,1021
AT3G07790,330,526,241,1645,298,512
AT3G07800,199,179,169,641,98,96
AT3G07810,417,627,306,733,286,735
AT3G07820,0,0,0,0,0,0
AT3G07830,0,0,1,7,0,1
AT3G07840,0,0,0,0,0,0
AT3G07850,0,3,0,18,0,0
AT3G07860,169,122,123,234,113,217
AT3G07870,349,169,120,381,48,130
AT3G07880,647,724,395,666,97,221
AT3G07890,264,252,115,635,97,210
AT3G07900,0,0,0,1,0,2
AT3G07910,46,143,92,390,183,200
AT3G07920,0,0,0,1,0,0
AT3G07930,45,114,136,30,62,35
AT3G07940,66,90,16,81,6,122
AT3G07950,174,233,120,163,97,150
AT3G07960,22,28,8,3,2,1
AT3G07970,0,1,0,24,0,16
AT3G07980,124,157,113,268,176,57
AT3G07990,10,42,1,1,0,1
AT3G08000,50,43,56,0,0,13
AT3G08010,270,468,214,311,111,96
AT3G08020,266,297,179,296,48,80
AT3G08030,360,716,177,1110,423,442
AT3G08040,77,45,3,4,8,0
AT3G08490,0,0,2,0,0,0
AT3G08500,49,51,3,128,5,41
AT3G08505,46,87,17,0,22,24
AT3G08510,756,1153,519,2502,689,830
AT3G08520,390,514,311,1431,96,288
AT3G08530,2445,4196,1663,6352,2524,3144
AT3G08550,86,467,158,188,206,152
AT3G08560,0,0,0,0,28,0
AT3G08570,52,34,13,0,1,13
AT3G08580,4442,6352,2899,10572,3017,3779
AT3G08590,632,912,291,8537,2277,1750
AT3G08600,116,116,90,12,40,2
AT3G08610,398,1022,310,1285,382,393
AT3G08620,103,62,39,193,4,35
AT3G08630,41,67,29,160,66,116
AT3G08636,0,1,0,0,0,0
AT3G08640,289,245,169,2036,567,645
AT3G08650,457,507,267,1300,77,195
AT3G08660,0,23,30,52,3,13
AT3G08670,160,241,105,220,72,250
AT3G08680,496,481,216,731,70,109
AT3G08690,130,263,143,715,201,144
AT3G08700,0,0,0,0,0,0
AT3G08710,40,127,29,2292,373,389
AT3G08720,47,115,53,3894,868,1348
AT3G08730,132,239,111,1660,270,314
AT3G08740,718,1482,590,1130,158,344
AT3G08750,0,0,0,0,0,0
AT3G08760,196,208,148,2362,1123,492
AT3G08770,0,0,0,0,1,0
AT3G08780,98,187,37,327,35,31
AT3G08790,2,1,0,0,0,0
AT3G08800,64,82,3,138,4,1
AT3G08810,0,0,2,15,10,16
AT3G08820,14,18,23,0,0,17
AT3G08840,215,288,91,94,46,146
AT3G08850,643,1002,462,2269,579,478
AT3G08860,0,6,2,1,0,3
AT3G08870,5,9,4,82,19,24
AT3G08880,32,61,2,72,71,0
AT3G08890,94,108,78,9,0,34
AT3G08900,13,34,25,10,0,0
AT3G08910,104,112,86,35,82,70
AT3G08920,75,95,98,254,57,86
AT3G08930,567,598,171,739,220,354
AT3G08940,860,1124,561,3164,746,1312
AT3G08943,157,303,116,857,126,108
AT3G08947,74,50,12,196,9,20
AT3G08950,78,113,38,529,226,116
AT3G08960,278,441,219,548,159,288
AT3G08970,1,28,2,104,0,0
AT3G08980,34,46,32,32,0,25
AT3G08990,56,28,72,383,41,20
AT3G09000,88,183,81,685,231,161
AT3G09010,5,13,0,2203,866,776
AT3G09020,43,1,9,1497,161,514
AT3G09030,168,78,22,114,113,86
AT3G09032,19,47,16,347,97,125
AT3G09035,156,245,240,195,57,85
AT3G09040,3,33,40,171,154,20
AT3G09050,291,293,80,29,43,35
AT3G09055,46,142,10,2,41,14
AT3G09060,103,81,59,22,0,21
AT3G09070,657,476,405,449,148,227
AT3G09080,0,20,0,2,0,5
AT3G09085,44,77,9,7,121,79
AT3G09090,457,567,261,1229,111,174
AT3G09100,559,401,245,1706,466,393
AT3G09110,0,1,0,2,0,0
AT3G09120,0,1,0,0,0,0
AT3G09130,0,0,0,0,0,0
AT3G09140,0,7,1,0,0,1
AT3G09150,181,164,11,251,79,78
AT3G09160,46,34,0,11,0,24
AT3G09162,29,106,42,1,0,3
AT3G09180,78,192,24,315,74,53
AT3G09190,78,59,30,4,18,3
AT3G09200,1783,3125,1075,3566,1103,1763
AT3G09210,367,508,273,215,33,193
AT3G09220,4,2,2,16,10,1
AT3G09230,55,74,0,29,13,29
AT3G09240,0,4,0,0,0,0
AT3G09250,203,169,40,44,26,37
AT3G09260,107,43,112,431,186,84
AT3G09270,39,1,5,365,26,16
AT3G09280,0,0,0,0,0,0
AT3G09290,0,1,0,0,0,0
AT3G09300,324,388,262,1146,100,312
AT3G09310,29,39,70,26,46,40
AT3G09320,104,240,98,101,2,63
AT3G09330,0,0,0,0,0,0
AT3G09340,1,0,0,1,0,0
AT3G09350,48,163,55,441,82,120
AT3G09360,255,282,165,648,29,27
AT3G09370,62,93,9,313,19,15
AT3G09380,0,0,0,0,0,0
AT3G09390,1508,2090,709,1843,637,930
AT3G09400,0,3,0,7,1,2
AT3G09405,0,6,1,2519,553,745
AT3G09410,63,210,77,275,120,121
AT3G09430,33,7,0,0,0,0
AT3G09440,795,1236,409,17786,4510,4451
AT3G09450,0,2,0,1,0,0
AT3G09455,5,75,131,70,1,9
AT3G09470,121,165,43,15,11,28
AT3G09480,21,36,56,1,0,16
AT3G09490,12,0,0,38,0,47
AT3G09500,887,1630,524,1047,678,365
AT3G09510,0,0,0,0,0,0
AT3G09520,19,1,3,3,24,0
AT3G09530,0,0,0,0,0,0
AT3G09540,97,42,36,248,31,15
AT3G09550,11,17,1,90,0,0
AT3G09560,180,359,172,694,33,212
AT3G09570,152,290,73,1376,170,318
AT3G09580,225,295,109,14,38,20
AT3G09590,0,0,0,0,0,0
AT3G09600,26,6,17,0,0,0
AT3G09620,0,1,0,0,0,0
AT3G09630,1227,2104,585,4733,1085,1261
AT3G09640,0,0,0,0,0,0
AT3G09650,285,348,120,143,1,97
AT3G09660,37,29,0,133,5,2
AT3G09670,247,216,67,419,55,87
AT3G09680,0,3,0,0,0,0
AT3G09690,88,229,65,209,70,52
AT3G09700,39,61,6,16,47,85
AT3G09710,37,107,61,91,10,53
AT3G09720,139,148,58,183,27,62
AT3G09730,3,66,0,0,22,0
AT3G09735,223,369,97,777,126,214
AT3G09740,597,684,212,1095,419,196
AT3G09750,1,0,0,0,0,0
AT3G09760,29,170,83,172,49,28
AT3G09770,514,716,410,647,261,386
AT3G09780,12,40,0,0,1,13
AT3G09790,0,0,0,0,0,0
AT3G09800,70,212,59,119,5,34
AT3G09810,264,153,102,737,152,310
AT3G09820,1647,2589,833,3031,1114,743
AT3G09830,24,63,79,2739,588,561
AT3G09840,3366,3599,1917,11672,3553,3804
AT3G09850,541,476,155,1009,129,277
AT3G09860,305,526,156,482,106,125
AT3G09863,0,0,0,0,0,0
