,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G03290,432,329,202,1414,237,228
AT1G03300,40,44,4,86,0,10
AT1G03310,230,324,183,401,142,88
AT1G03320,7,0,0,7,0,1
AT1G03325,6,0,0,7,0,0
AT1G03330,140,191,73,104,64,105
AT1G03340,20,8,0,0,0,0
AT1G03350,411,350,205,1099,213,540
AT1G03360,37,128,34,259,75,77
AT1G03365,318,324,115,168,90,163
AT1G03370,201,218,177,1269,548,788
AT1G03380,371,375,171,886,333,298
AT1G03390,2,25,0,0,0,38
AT1G03395,0,0,0,0,0,14
AT1G03400,34,98,45,364,77,196
AT1G03410,186,252,151,26,22,54
AT1G03430,95,202,87,444,131,201
AT1G03440,91,249,47,1,64,88
AT1G03445,0,11,0,0,0,6
AT1G03457,2,25,31,1,0,15
AT1G03470,129,119,72,125,0,9
AT1G03475,985,1332,626,1273,539,607
AT1G03490,0,0,1,0,0,0
AT1G03495,24,34,9,237,104,84
AT1G03510,0,32,5,78,0,0
AT1G03520,60,188,49,201,7,17
AT1G03530,185,164,143,1287,248,278
AT1G03540,53,46,50,4,6,2
AT1G03550,69,89,62,336,123,47
AT1G03560,220,66,58,169,11,57
AT1G03590,96,183,71,652,79,136
AT1G03600,832,1407,411,1576,216,473
AT1G03610,641,462,261,331,210,190
AT1G03620,23,84,43,143,4,21
AT1G03630,695,1239,288,1066,60,295
AT1G03650,0,13,25,301,25,10
AT1G03660,0,14,17,410,32,87
AT1G03670,1,0,0,0,0,0
AT1G03680,719,1680,430,1304,354,347
AT1G03687,72,123,36,0,0,173
AT1G03700,1,0,2,0,0,1
AT1G03710,0,0,0,0,0,0
AT1G03720,0,0,0,0,0,0
AT1G03730,75,98,58,2543,536,670
AT1G03740,237,227,176,8046,1694,2140
AT1G03750,65,114,70,107,42,33
AT1G03760,73,34,67,70,66,19
AT1G03770,36,41,18,403,141,76
AT1G03780,206,118,105,223,84,47
AT1G03790,0,0,0,0,0,1
AT1G03800,0,0,0,0,0,0
AT1G03810,1,0,0,0,0,0
AT1G03820,265,160,265,59,83,20
AT1G03830,160,160,88,318,48,84
AT1G03840,1,14,0,2,0,0
AT1G03850,19,47,7,139,266,125
AT1G03860,366,548,290,1038,183,431
AT1G03870,249,526,227,144,122,65
AT1G03880,0,0,0,0,0,0
AT1G03890,0,0,0,1,0,0
AT1G03900,264,374,166,918,214,127
AT1G03905,26,18,3,445,43,53
AT1G03910,391,491,312,750,270,256
AT1G03920,31,200,41,11,13,40
AT1G03930,174,363,173,216,124,171
AT1G03940,126,122,107,578,88,55
AT1G03950,62,142,19,397,3,22
AT1G03960,105,220,82,67,55,48
AT1G03970,150,177,121,399,77,131
AT1G03980,0,11,0,0,0,0
AT1G03982,0,0,0,0,0,0
AT1G03990,13,21,2,153,17,30
AT1G04000,120,231,95,365,13,76
AT1G04010,46,112,45,142,16,42
AT1G04020,62,97,22,115,0,5
AT1G04030,63,103,50,112,63,29
AT1G04040,50,42,27,22,21,17
AT1G04050,1,19,1,30,0,31
AT1G04070,60,24,18,598,113,73
AT1G04080,552,859,434,1764,479,519
AT1G04090,0,0,2,309,37,47
AT1G04100,83,34,16,368,232,101
AT1G04105,10,28,3,246,2,21
AT1G04110,13,1,2,2,55,4
AT1G04120,1653,1755,778,1706,572,555
AT1G04130,63,90,36,102,26,1
AT1G04140,743,802,327,2186,503,513
AT1G04150,0,0,6,0,0,0
AT1G04160,145,85,7,90,58,3
AT1G04170,392,598,223,1553,288,436
AT1G04180,0,0,0,0,0,0
AT1G04190,155,247,15,182,26,30
AT1G04200,141,360,67,505,150,119
AT1G04210,379,815,448,2013,441,434
AT1G04220,1,2,0,17,2,1
AT1G04230,89,201,95,28,1,67
AT1G04240,61,103,1,0,10,52
AT1G04250,0,0,5,129,0,27
AT1G04260,17,62,9,98,124,56
AT1G04270,648,1214,501,2058,482,559
AT1G04280,11,7,28,7,84,66
AT1G04290,176,178,77,242,43,110
AT1G04300,441,862,495,1940,407,530
AT1G04310,268,283,112,244,38,43
AT1G04330,43,23,0,0,0,0
AT1G04340,126,192,26,263,55,9
AT1G04350,146,247,63,279,16,81
AT1G04360,0,10,0,31,0,6
AT1G04370,0,0,0,266,41,65
AT1G04380,18,3,0,159,0,21
AT1G04390,85,70,4,20,112,49
AT1G04400,2564,3206,1697,2694,628,1055
AT1G04410,2964,4143,1481,6488,2269,1896
AT1G04420,391,687,196,258,148,169
AT1G04430,575,806,319,428,209,292
AT1G04440,481,473,291,632,236,363
AT1G04445,4,5,0,0,0,0
AT1G04450,0,0,0,0,0,0
AT1G04455,0,0,0,0,0,0
AT1G04470,0,0,3,2,0,0
AT1G04480,239,684,249,1110,331,433
AT1G04490,0,17,17,115,0,36
AT1G04500,0,5,0,229,0,8
AT1G04510,324,509,188,665,151,313
AT1G04520,110,144,125,4,79,17
AT1G04530,284,287,251,470,176,84
AT1G04540,55,21,43,205,0,6
AT1G04550,164,260,210,170,44,47
AT1G04555,24,46,58,78,6,33
AT1G04560,0,0,0,0,0,0
AT1G04570,0,3,10,0,3,0
AT1G04580,11,12,2,0,0,0
AT1G04590,81,158,19,268,22,73
AT1G04600,23,24,7,1,0,0
AT1G04610,0,0,0,0,0,1
AT1G04620,174,476,219,360,275,78
AT1G04625,15,29,0,0,4,0
AT1G04630,354,269,152,244,64,150
AT1G04635,47,26,10,11,1,7
AT1G04640,96,288,134,40,21,22
AT1G04645,0,0,0,0,0,0
AT1G04650,10,11,0,0,0,3
AT1G04660,0,0,0,0,1,0
AT1G04670,0,0,0,1,0,0
AT1G04680,404,577,292,272,278,108
AT1G04690,487,662,251,679,250,153
AT1G04700,31,13,0,0,0,0
AT1G04710,116,186,78,11,1,28
AT1G04730,133,74,28,218,131,42
AT1G04750,494,618,258,1385,260,292
AT1G04760,53,77,26,6,3,0
AT1G04770,143,154,77,12,20,2
AT1G04778,8,7,0,89,0,0
AT1G04780,573,471,298,2141,454,667
AT1G04790,168,336,47,366,166,115
AT1G04800,3,188,10,9,9,117
AT1G04810,413,584,300,2324,683,437
AT1G04820,1649,2081,784,3599,1437,1293
AT1G04830,113,161,88,108,45,77
AT1G04840,12,58,1,6,0,7
AT1G04850,623,851,401,997,391,546
AT1G04860,358,481,229,633,205,471
AT1G04870,70,192,8,579,180,153
AT1G04880,0,3,0,3,0,7
AT1G04890,0,0,0,8,0,0
AT1G04895,0,0,0,0,0,0
AT1G04900,67,126,58,343,2,1
AT1G04910,119,335,110,148,108,85
AT1G04920,33,58,11,0,0,5
AT1G04930,47,57,24,177,50,63
AT1G04945,323,463,300,964,239,418
AT1G04940,262,388,212,327,140,358
AT1G04950,315,261,114,378,87,66
AT1G04960,108,141,17,674,195,504
AT1G04970,116,301,278,592,119,94
AT1G04980,149,233,14,164,8,143
AT1G04985,173,234,113,326,115,203
AT1G04990,135,216,39,376,108,77
AT1G05000,27,28,7,121,42,33
AT1G05005,0,0,0,0,0,0
AT1G05010,503,556,331,4546,1079,2307
AT1G05020,1,4,1,22,5,17
AT1G05030,61,109,60,108,0,3
AT1G05035,8,2,0,2,0,0
AT1G05040,0,0,0,0,0,0
AT1G05055,102,150,23,303,2,54
AT1G05060,78,107,37,872,185,242
AT1G05065,0,4,0,35,0,0
AT1G05070,77,150,86,15,25,30
AT1G05080,0,0,0,1,0,0
AT1G05085,0,3,0,0,0,0
AT1G05087,0,9,26,0,0,6
AT1G05090,0,0,0,4,0,2
AT1G05100,0,0,9,0,11,32
AT1G05120,127,176,57,425,181,273
AT1G05136,0,0,0,9,0,0
AT1G05140,357,700,294,445,90,55
AT1G05150,705,593,303,672,203,149
AT1G05160,80,142,72,43,0,36
AT1G05170,16,80,87,446,85,108
AT1G05180,171,343,86,949,87,94
AT1G05190,1818,2866,1030,2415,370,882
AT1G05200,323,471,115,485,74,135
AT1G05205,65,101,77,94,45,89
AT1G05210,4,14,6,0,5,0
AT1G05220,0,0,0,0,0,0
AT1G05230,32,0,5,3,0,2
AT1G05240,0,0,0,0,0,32
AT1G05250,0,0,0,2,0,0
AT1G05260,0,3,1,23,5,2
AT1G05270,309,440,157,550,125,105
AT1G05280,0,1,1,2,1,2
AT1G05290,0,1,0,0,0,2
AT1G05291,0,0,0,0,0,0
AT1G05300,114,40,37,2,0,18
AT1G05310,79,196,74,33,12,61
AT1G05320,271,272,125,101,24,54
AT1G05330,0,0,0,21,0,0
AT1G05340,15,6,0,255,93,108
AT1G05350,215,258,49,1060,102,308
AT1G05360,111,160,38,341,124,76
AT1G05370,62,141,30,203,6,28
AT1G05380,574,492,288,923,252,436
AT1G05385,117,121,15,83,0,164
AT1G05400,0,5,27,1,13,0
AT1G05410,60,76,68,210,0,43
AT1G05420,1,12,0,0,2,7
AT1G05430,59,243,61,277,61,60
AT1G05440,35,38,10,6,0,0
AT1G05450,0,6,0,0,0,0
AT1G05460,277,318,201,72,206,69
AT1G05470,483,710,219,418,96,149
AT1G05490,0,30,0,0,0,8
AT1G05500,356,388,153,250,105,260
AT1G05510,0,2,0,0,0,0
AT1G05520,307,412,135,136,100,390
AT1G05530,0,1,0,0,0,1
AT1G05540,23,114,66,0,0,14
AT1G05550,0,2,0,0,0,0
AT1G05560,897,946,340,1351,356,903
AT1G05570,447,548,90,393,170,385
AT1G05575,0,0,0,794,139,148
AT1G05577,0,5,2,2,53,3
AT1G05580,0,0,0,1,0,0
AT1G05590,101,167,73,17,9,14
AT1G05600,46,140,10,4,4,21
AT1G05610,0,76,0,1,0,26
AT1G05615,0,0,0,0,0,0
